index,id,create_at,timestamp(ms),text,user_name,verified,location,followers_count,extended,retweeted,quoted,keyword
0,1265799461361639426,Thu May 28 00:18:03 +0000 2020,1590625083662,Happy birthday 🎈 https://t.co/X3IIi8G3Pg,RH_1413,False,None,239,0,0,0,0
1,1265799461361668097,Thu May 28 00:18:03 +0000 2020,1590625083662,@gaysmelliott they heard both back to back and was like https://t.co/NUkRY09O6m,then0wnow,False,detroit,2188,0,0,0,0
2,1265799465539112961,Thu May 28 00:18:04 +0000 2020,1590625084658,RT @th3j35t3r: What exactly does he think he's gonna do. they are a private company  not a public utility or government entity. Who or what… What exactly does he think he's gonna do. they are a private company  not a public utility or government entity. Who or what the fuck does this guy think he is? https://t.co/5bEdYWI8mu,KATzDADDY14,False,Chattanooga Tennessee ,112,0,1,0,0
3,1265799465568399360,Thu May 28 00:18:04 +0000 2020,1590625084665,RT @bellzisbirding: Are we about to open up this convo to how white birders treat Black birders or .... Are we about to open up this convo to how white birders treat Black birders or ....,HallOfNature,False,None,293,0,1,0,0
4,1265799465564360705,Thu May 28 00:18:04 +0000 2020,1590625084664,Photos of downtown Tampa trigger my fight or flight response because every single one has my old work building in it,PAPPA___M,False,Petty Island,313,0,0,0,0
5,1265799465539112960,Thu May 28 00:18:04 +0000 2020,1590625084658,RT @RinSpooky: Sad Steve is sad. #stony #stevetony https://t.co/VsUyhv52rA Sad Steve is sad. #stony #stevetony https://t.co/VsUyhv52rA,lottahiddleslo1,False,Texas USA,60,0,1,0,0
6,1265799465555734528,Thu May 28 00:18:04 +0000 2020,1590625084662,RT @angelllaz: I need this bitch in my life 🥺👉🏼👈🏼 https://t.co/vKiOUaXGpe I need this bitch in my life 🥺👉🏼👈🏼 https://t.co/vKiOUaXGpe,leticiaa_lopezz,False,everywhere ,91,0,1,0,0
7,1265799465564323840,Thu May 28 00:18:04 +0000 2020,1590625084664,RT @armymuttualls: rt this to gain seokjin stan mutuals  follow everyone who retweets this and make sure to follow back 💫 rt this to gain seokjin stan mutuals  follow everyone who retweets this and make sure to follow back 💫,mini__monie,False,20 | kth noticed me | fairy,482,0,1,0,0
8,1265799465543372800,Thu May 28 00:18:04 +0000 2020,1590625084659,RT @javi_draws: art improvement check! 2015 &gt;&gt;&gt; 2020 https://t.co/MzhDQLW5ju art improvement check! 2015 &gt;&gt;&gt; 2020 https://t.co/MzhDQLW5ju,pauline_sleepy,False,None,4,0,1,0,0
9,1265799465534779392,Thu May 28 00:18:04 +0000 2020,1590625084657,RT @Jeff__Benjamin: 10 major artists to kick off @KCON_Global's #KCONTACT 2020 Summer lineup.  Full list of artists announced so far + addi… 10 major artists to kick off @KCON_Global's #KCONTACT 2020 Summer lineup.  Full list of artists announced so far + additional festival details on @Forbes:  https://t.co/i7549EkdgN,YourBunnyHoHo,False,Monsta X's Hearts,711,0,1,0,0
