index,id,create_at,timestamp(ms),text,user_name,verified,location,followers_count,extended,retweeted,quoted,keyword
15,1265799472333811714,Thu May 28 00:18:06 +0000 2020,1590625086278,RT @HamdhanShakeel: What the hell is wrong with you @mhshifau ? We have been calling the current incompetent government to close the border… What the hell is wrong with you @mhshifau ? We have been calling the current incompetent government to close the borders and lockdown the nation as early as February 2020. There’s absolutely no low or lie you won’t make for your failing career linger on just a bit more is there ? Idhikolhu faraaithakun beynunvi varah covid-19 jehigen Rajjein meehun mareh nuvi: Shifaau https://t.co/g63VTgudhZ,MadiseelaM,False,None,730,0,1,1,0
16,1265799473302732802,Thu May 28 00:18:06 +0000 2020,1590625086509,RT @DjWalt_: Covid-19 almost made me forget about the real virus in America. Covid-19 almost made me forget about the real virus in America.,hale1914,False,Texas USA,465,0,1,0,0
17,1265799473076359176,Thu May 28 00:18:06 +0000 2020,1590625086455,Hospitals in Baraboo  Portage  Sauk Prairie and Reedsburg are relaxing restrictions to allow patients to have limited visitors as COVID-19 cases remain low and communities reopen. https://t.co/jBJ9qHew1A,Times_Press,False,None,232,1,0,0,0
18,1265799473734844423,Thu May 28 00:18:06 +0000 2020,1590625086612,RT @DjWalt_: Covid-19 almost made me forget about the real virus in America. Covid-19 almost made me forget about the real virus in America.,Cam_Da_Prince,False,Somewhere Chasing My Dreams...,1286,0,1,0,0
19,1265799474577899526,Thu May 28 00:18:06 +0000 2020,1590625086813,This look horrible compared to the getting tested in the nose COVID-19 test number 4 for this Saturday @TWooodley vs @GilbertDurinho LIVE on @espn https://t.co/QNCFRUhor6,jenojeremy_l,False,None,107,0,0,1,0
20,1265799474737274882,Thu May 28 00:18:06 +0000 2020,1590625086851,RT @DjWalt_: Covid-19 almost made me forget about the real virus in America. Covid-19 almost made me forget about the real virus in America.,Dangg_Lyric,False,DTX❤️,906,0,1,0,0
21,1265799475655774216,Thu May 28 00:18:07 +0000 2020,1590625087070,RT @mmpadellan: TODAY  on the day American deaths from COVID-19 passed the 100 000 threshold  Donald trump tweeted or retweeted dozens of t… TODAY  on the day American deaths from COVID-19 passed the 100 000 threshold  Donald trump tweeted or retweeted dozens of times today about: - Obama - Twitter - FISA - himself  NOT ONE TWEET about the loss of American lives.  HE IS A DISGRACE.,olybinewski15,False,None,44,0,1,0,0
22,1265799475957624832,Thu May 28 00:18:07 +0000 2020,1590625087142,To The bread and butter project well done !!! How social enterprise The Bread &amp; Butter Project found a way to power through the COVID-19 disruption. Full story – https://t.co/Kq5wpFo9HD #COVIDー19 #coronavirusaustralia  #pivot #retail #hospitality #bakery #bread #socialenterprise #refugees  @WestpacFoundat https://t.co/L53kjcGWjX,tkhale1,False,None,123,0,0,1,0
23,1265799476742180864,Thu May 28 00:18:07 +0000 2020,1590625087329,RT @RecordEagle: TRAVERSE CITY — Basically anyone who lives in northern Michigan who wants to be tested for COVID-19 can schedule an appoin… TRAVERSE CITY — Basically anyone who lives in northern Michigan who wants to be tested for COVID-19 can schedule an appointment thanks to low testing rates across the region. https://t.co/YUAcCQkyXT,northphotog,False,Michigan USA,121,0,1,0,0
24,1265799476863741953,Thu May 28 00:18:07 +0000 2020,1590625087358,RT @ThisWeekABC: "Sorrowful": Black clergy members and churches reeling from COVID-19 losses https://t.co/GCPVSvZCio "Sorrowful": Black clergy members and churches reeling from COVID-19 losses https://t.co/GCPVSvZCio,Annoited111,False,None,12,0,1,0,0
