k,SSE
10,3911168.051550676
11,3781844.4497631695
12,3688247.7687575845
13,3636402.2397460695
14,3318675.4572578142
15,3195692.7512006904
16,3177217.33867102
17,3149109.7366064317
18,3139917.125710286
19,3265208.6390310647
20,3051954.76627766
21,2995319.8100417424
22,3053572.6636102856
23,3022769.4858367345
24,2779859.1028351337
25,2827389.8263289086
26,2922122.6354354895
27,2772654.2460371903
28,2913997.8490112596
29,2912180.66293358
30,2720954.37812206
