covid,virus,118
covid,forget,102
forget,virus,101
covid,real,85
covid,trump,82
forget,real,80
real,virus,80
supreme,court,75
court,covid,74
supreme,covid,73
ability,trace,71
ability,covid,71
ability,ring,71
trace,covid,71
trace,ring,71
covid,ring,71
covid,twitter,69
trump,twitter,66
supreme,lack,66
supreme,immunity,66
court,lack,66
court,immunity,66
lack,immunity,66
lack,covid,65
immunity,covid,65
covid,times,62
today,covid,61
breaking,covid,59
day,covid,57
supreme,voter,55
court,voter,55
lack,voter,55
immunity,voter,55
covid,voter,55
today,day,54
covid,pandemic,54
times,twitter,53
covid,disgrace,52
today,twitter,51
covid,tweet,51
today,threshold,50
today,trump,50
today,times,50
today,tweet,50
today,loss,50
today,disgrace,50
day,threshold,50
day,trump,50
day,times,50
day,twitter,50
day,tweet,50
day,loss,50
day,disgrace,50
covid,threshold,50
covid,loss,50
threshold,trump,50
threshold,times,50
threshold,twitter,50
threshold,tweet,50
threshold,loss,50
threshold,disgrace,50
trump,times,50
trump,tweet,50
trump,loss,50
trump,disgrace,50
times,tweet,50
times,loss,50
times,disgrace,50
twitter,tweet,50
twitter,loss,50
twitter,disgrace,50
tweet,loss,50
tweet,disgrace,50
loss,disgrace,50
new,covid,48
supreme,mail,45
court,mail,45
covid,mail,43
trump,covid,42
state,covid,40
covid,lied,39
fact,checked,37
vote,mail,37
covid,people,35
lack,mail,34
immunity,mail,34
breaking,supreme,33
breaking,court,33
breaking,lack,33
breaking,immunity,33
breaking,mail,33
covid,vote,33
covid,ballot,32
covid,democratic,32
time,covid,32
supreme,absentee,31
court,absentee,31
covid,absentee,31
absentee,ballot,31
death,covid,31
