black,fight,8
twitter,fact,8
white,people,8
black,man,7
black,hear,7
black,mourn,7
hear,mourn,7
hear,fight,7
mourn,fight,7
black,people,7
black,matter,7
social,media,7
people,like,7
police,black,6
sour,candy,6
black,police,6
police,people,6
white,black,5
year,old,5
good,morning,5
thread,help,5
thread,sign,5
calling,police,5
police,brutality,5
bad,check,5
understand,like,5
video,weekend,5
white,house,5
police,man,4
man,point,4
sour,coming,4
candy,coming,4
stop,police,4
fact,check,4
wrote,bad,4
wrote,check,4
man,people,4
ill,send,4
sure,police,4
like,look,4
like,day,4
executive,order,4
like,video,4
like,street,4
remember,video,4
remember,memorial,4
remember,day,4
remember,weekend,4
remember,street,4
remember,harassment,4
remember,remind,4
video,memorial,4
video,day,4
video,street,4
video,harassment,4
video,remind,4
memorial,day,4
memorial,weekend,4
memorial,street,4
memorial,harassment,4
memorial,remind,4
day,weekend,4
day,street,4
day,harassment,4
day,remind,4
weekend,street,4
weekend,harassment,4
weekend,remind,4
street,harassment,4
street,remind,4
harassment,remind,4
white,like,4
look,like,4
sign,petition,4
people,covid,4
stop,people,4
president,trump,4
white,racism,4
people,color,4
people,care,4
twitter,trump,4
mail,covid,3
white,police,3
white,sign,3
black,family,3
rolling,stop,3
rolling,sign,3
stop,sign,3
sorry,different,3
live,fear,3
like,said,3
twitter,speech,3
twitter,president,3
thread,donate,3
help,sign,3
help,donate,3
sign,donate,3
stop,calling,3
stop,brutality,3
calling,brutality,3
